video_id,author_username,video_description,hashtags,suggested_words,file_name
7142316726544338222,calianaaaaaaa,#ShowOffLandOFrost #fyp #foryou #foryoupage #arabtiktok #arab #viral #makemefamous #makemeviral #ArabTikTok #lebanon #lebanese #لبنان🇱🇧 #لبنان #syria #french #morroco #iraq #iran #palestine #saudiarabia #uae #dubai #yemen #eygpt #jordan #palestinian #queenelizabeth #princessdiana #keffiyeh #middleeast #middleeastern,"['showofflandofrost', 'fyp', 'foryou', 'foryoupage', 'arabtiktok', 'arab', 'viral', 'makemefamous', 'makemeviral', 'arabtiktok', 'lebanon', 'lebanese', 'لبنان🇱🇧', 'لبنان', 'syria', 'french', 'morroco', 'iraq', 'iran', 'palestine', 'saudiarabia', 'uae', 'dubai', 'yemen', 'eygpt', 'jordan', 'palestinian', 'queenelizabeth', 'princessdiana', 'keffiyeh', 'middleeast', 'middleeastern']","keffiyeh, keffiyeh tutorial, Keffiyeh Clothing, kuffiyeh outfit, arab, Middle Eastern, Princess Diana, how to wear a keffiyeh, how to put on a keffiyeh, How to Tie Keffiyeh",Sec2Gr3_77217.csv
7296080493060164897,sakinaandkeyan,#palestine #freepalestine #gaza #savegaza #arab #fyp #isreal #un #yellowstar #poltics #peace #war #gazawar #usa #world #muslim #ummah #genocide #news #media ,"['palestine', 'freepalestine', 'gaza', 'savegaza', 'arab', 'fyp', 'isreal', 'un', 'yellowstar', 'poltics', 'peace', 'war', 'gazawar', 'usa', 'world', 'muslim', 'ummah', 'genocide', 'news', 'media']",,Sec2Gr3_77217.csv
7296200476201143584,akihros,This far right government is EVIL #🇵🇸 #palestine #istandwithpalestine ,"['🇵🇸', 'palestine', 'istandwithpalestine']",,Sec2Gr3_77217.csv
7234021815906012459,opinionviews,#origin #of #yelllow #star #david #davidstar #magendavid #islam #muslim #muslimtiktok #israel #israeltiktok #jewish #jewishtiktok #usa #brazil #argentina #canada #un #unwatch #iraq #iran #lebanon #egypt #saudi #saudiarabia #bahrain #qatar #france #germany #uk #rusia #spain #portugal #italy #jordan #oman #mb #msa #israel #palestine #freepalestine #1940s ,"['origin', 'of', 'yelllow', 'star', 'david', 'davidstar', 'magendavid', 'islam', 'muslim', 'muslimtiktok', 'israel', 'israeltiktok', 'jewish', 'jewishtiktok', 'usa', 'brazil', 'argentina', 'canada', 'un', 'unwatch', 'iraq', 'iran', 'lebanon', 'egypt', 'saudi', 'saudiarabia', 'bahrain', 'qatar', 'france', 'germany', 'uk', 'rusia', 'spain', 'portugal', 'italy', 'jordan', 'oman', 'mb', 'msa', 'israel', 'palestine', 'freepalestine', '1940s']",,Sec2Gr3_77217.csv
7295142634719415595,ian.gunther,I think they were right 😭😂 #gymnastics #gymnast #sports #ncaa #dance #jubislide #jubi #slide #dance #fail #fails,"['gymnastics', 'gymnast', 'sports', 'ncaa', 'dance', 'jubislide', 'jubi', 'slide', 'dance', 'fail', 'fails']",,Sec2Gr3_77217.csv
7289462001636576545,moroccopntop,#isnotreal🇮🇱 #fyp #palestine ,"['isnotreal🇮🇱', 'fyp', 'palestine']",,Sec2Gr3_77217.csv
7292120542654500129,lilimannin,Time to switch majors #internationalrelations #diplomat #unitednations #student #internationalstudent #internationalcouple #abroad #politics ,"['internationalrelations', 'diplomat', 'unitednations', 'student', 'internationalstudent', 'internationalcouple', 'abroad', 'politics']","black passport, diplomatic passport, international relations major, international relations, international student, Studying Abroad, black diplomatic passport, diplomat career, Passport, global citizen",Sec2Gr3_77217.csv
7295884695060024622,garnish_and_gains,Quick history snippit #history #rome #sling #nerd #ancient #gladiator #greek #israel #warriors #totalwar #gaming #military #militaryhistory #spain #fyp #foryoupage #training #fitness ,"['history', 'rome', 'sling', 'nerd', 'ancient', 'gladiator', 'greek', 'israel', 'warriors', 'totalwar', 'gaming', 'military', 'militaryhistory', 'spain', 'fyp', 'foryoupage', 'training', 'fitness']",,Sec2Gr3_77217.csv
7068912184897670401,jj.olatunji69,Putin looks evil since he was 6 #putin #russia #fyp #ukrane #putin #fypシ #ww3 #youngputin #foru,"['putin', 'russia', 'fyp', 'ukrane', 'putin', 'fypシ', 'ww3', 'youngputin', 'foru']","young putin, russia",Sec2Gr3_77217.csv
7287036271002914094,fluentlyforward,Replying to @HstnTxn if #putin #plasticsurgery was one thing his #modeling is another #vladimirputin ,"['putin', 'plasticsurgery', 'modeling', 'vladimirputin']",,Sec2Gr3_77217.csv
7295799693307563294,moamer,ITS NOT KHUMMUS IT HUMMUS! #Palestine #Israel #OneBowlSolution ,"['palestine', 'israel', 'onebowlsolution']","hummus, mo amer arabic curse words, hummus recipe, chocolate hummus, hummus palestine, israeli food, mo amer passport, israeli hummus, palestinian food, Homemade Hummus",Sec2Gr3_77217.csv
7007986716506197253,dan_of_innsmouth,Reply to @creativeusername592  the us took photos of the torture at #abugraib #waronterror #politics #history,"['abugraib', 'waronterror', 'politics', 'history']",,Sec2Gr3_77217.csv
7291710576550481198,arianajasmine___,"Replying to @ScratchyMcNutz yes shes apparently done bl@çk faç3, sarah kate silverman everyone #palestine #freepalestine #arianajasmine ","['palestine', 'freepalestine', 'arianajasmine']","sarah silverman, sarah silverman black, sarah silverman israel, sarah silverman black people, sarah kate silverman black, sarah silverman apology, jennifer garner reaction sarah silverman, sarah silverman wreck it ralph, sarah kate",Sec2Gr3_77217.csv
7283120511104601387,artlust,#marieantoinette #historytiktok #historytok #arthistory ,"['marieantoinette', 'historytiktok', 'historytok', 'arthistory']","Marie Antoinette, Marie Antoinette Bedroom Smell, italian royal family, Why Was Marie Antoinette Executed, marie antoinette illegitimate kids, russian royal family, marie antoinette story, who is marie antoinette, Marie Antoinette Bedroom, marie antoinette explained",Sec2Gr3_77217.csv
7294957336022601002,toyhavencorner,The REAL Reason Chameleons Change Color #animals #learnontiktok #science ,"['animals', 'learnontiktok', 'science']","chameleon change color, oddanimalspecimens, Chameleon, Chameleon Changing Colors, Octopus Changing Colors, Pet Chameleon, tilapia changing color, rango changing colors, rango chameleon, rango chameleon changing colors",Sec2Gr3_77217.csv
7284000161062243626,dexter.mp4,The dolphin house experiment! Redux! #learnontiktok #learneclecticthings #greenscreen ,"['learnontiktok', 'learneclecticthings', 'greenscreen']",,Sec2Gr3_77217.csv
7267165450637790482,urhistoricalteacher,#history #sharingthoughts #learnhistory #historicalphotos #dailydoseofhistory #photofrompast #historytok #historicalpictures #,"['history', 'sharingthoughts', 'learnhistory', 'historicalphotos', 'dailydoseofhistory', 'photofrompast', 'historytok', 'historicalpictures']","oxford university, charles darwin, Marilyn Monroe, Woolly Mammoth, harriet the tortoise, oregon trail, aztec empire, Oxford University History, charles darwin birth date, anne frank story",Sec2Gr3_77217.csv
7295925652992363822,missbeifong,this was a really brave thing of her to come out and say. hope she is more healed #bridgerton #netflix #shondland #news #twitter #x #shondarhimes #greysanatomy #fyp #mentalhealth ,"['bridgerton', 'netflix', 'shondland', 'news', 'twitter', 'x', 'shondarhimes', 'greysanatomy', 'fyp', 'mentalhealth']",,Sec2Gr3_77217.csv
7281881440860589355,destructojuugo,Replying to @Sunny #greenscreen #harrypotter #fyp #jkrowling #leftist #geography ,"['greenscreen', 'harrypotter', 'fyp', 'jkrowling', 'leftist', 'geography']",,Sec2Gr3_77217.csv
7294334382150651168,sun_likemoon,I’m really glad that there are some idols that are supporting the right ones❤️ #fyp #fy #palestine #kpop ,"['fyp', 'fy', 'palestine', 'kpop']",,Sec2Gr3_77217.csv
7277683345486597422,joshsmoore,Got that Tyreek Hill speed #fyp #foryou #trending #d1athlete #filter #football #race ,"['fyp', 'foryou', 'trending', 'd1athlete', 'filter', 'football', 'race']","disney  100, tap to run filter, Tyreek Hill Speed, race filter, Tyreek Hill, Football, tyreek hill track, josh moore highlights, track run filter, soccer",Sec2Gr3_77217.csv
7288802179530411306,pinkwidget,20 days til Halloween #thisishalloween #thisishalloween🎃 #halloween #halloween2023 #halloweenlook #halloweenishere #halloweenscene #chelseami #chelseamich #michigan ,"['thisishalloween', 'thisishalloween🎃', 'halloween', 'halloween2023', 'halloweenlook', 'halloweenishere', 'halloweenscene', 'chelseami', 'chelseamich', 'michigan']",,Sec2Gr3_77217.csv
7294292524171152648,shevsee,did you ever seen Miu Miu headphones?🫢 #miumiu #headphones #fashionnews #fashioncollaboration ,"['miumiu', 'headphones', 'fashionnews', 'fashioncollaboration']",,Sec2Gr3_77217.csv
7295324116477873440,santalksalot,Sounds about white #palestine #freepalestine #palestinewillbefree #istandwithpalestine ,"['palestine', 'freepalestine', 'palestinewillbefree', 'istandwithpalestine']",,Sec2Gr3_77217.csv
7289862603722181893,featvern,A Pro-Israel and a Pro-Palestine communicate. (Fake everything ⚠️ educational purposes only.) #shesvern #palestine #israel #freepalestne #freepalestineuntilitsbackwards #fyp #foryoupage #foryoupageofficial #viral #educational #educationalpurposes ,"['shesvern', 'palestine', 'israel', 'freepalestne', 'freepalestineuntilitsbackwards', 'fyp', 'foryoupage', 'foryoupageofficial', 'viral', 'educational', 'educationalpurposes']",,Sec2Gr3_77217.csv
7291429396139773217,vaihelasverigetiktok,Greta ❤️ #gretathunberg #viral #music #humor #foryou #fyp #foryoupage #climate #funny #lauch #unexpected ,"['gretathunberg', 'viral', 'music', 'humor', 'foryou', 'fyp', 'foryoupage', 'climate', 'funny', 'lauch', 'unexpected']","Greta Thunberg, greta thunberg singing, greta thunberg now, greta thunberg palestine, greta thunberg never gonna give you up, greta thunberg rick rolled, greta, greta thunberg autism, greta thunberg singing on stage, greta dancing",Sec2Gr3_77217.csv
7088395289219976490,abcnews,"""That’s up to them,"" Pres. #JoeBiden says when asked if travelers should continue to wear #masks on #airplanes after #federal mask #mandate overturned. #news #covid19","['joebiden', 'masks', 'airplanes', 'federal', 'mandate', 'news', 'covid19']",,Sec2Gr3_77217.csv
7291460094032645418,rambo.media,#fyp #biden #breakingnews #joebiden #president #airforce #plane #airplane #interview #trouble #dementia #foryoupage #trending ,"['fyp', 'biden', 'breakingnews', 'joebiden', 'president', 'airforce', 'plane', 'airplane', 'interview', 'trouble', 'dementia', 'foryoupage', 'trending']","joe biden speaks on cotton picking, biden gibberish, joe biden announces cotton picking job, Airplane, biden dementia, Airplane Tiktok Videos, joe biden air force one, president head statue, plane not moving, Airplane Flying Videos",Sec2Gr3_77217.csv
7294702601235434783,drewparker2k,A lot can change in 3 years #politics #biden #trump #leftist #genocidejoe #🇵🇸 #fyp #drewparker2k ,"['politics', 'biden', 'trump', 'leftist', 'genocidejoe', '🇵🇸', 'fyp', 'drewparker2k']",,Sec2Gr3_77217.csv
7201125145791155502,simply_suha,#duet with @yochanan.ohev.kpop leave newjeans out of this 🥱 #freepalestine #palestine #hijabi #muslimtiktok #kpop #palestinetiktok #newjeans #hypeboynewjeans #kpopedit #fyp #southasian ,"['duet', 'freepalestine', 'palestine', 'hijabi', 'muslimtiktok', 'kpop', 'palestinetiktok', 'newjeans', 'hypeboynewjeans', 'kpopedit', 'fyp', 'southasian']",,Sec2Gr3_77217.csv
7288912893922397482,hiragoharrr,InshAllah there will be a Free Pal3stine ❤️ #muslimtiktok #muslim #freepalestine #freepalestine #israel #foryou #foryoupage #gaza #foryourpages #fyp #tiktok ,"['muslimtiktok', 'muslim', 'freepalestine', 'freepalestine', 'israel', 'foryou', 'foryoupage', 'gaza', 'foryourpages', 'fyp', 'tiktok']","why won't anybody help us original video, why won't anybody help us israel original video, why won't anybody help us, cry, muslim tiktok, Muslim, Negev Desert in Israel, Israel Kamakawiwoʻole, sea boundary palestine, israel music festival",Sec2Gr3_77217.csv
7289748969469529376,ch3ewonfpf,#stitch with @Hira Gohar #palestine #israel #war #kpop #kpopfyp #hanni #newjeans #xybca ,"['stitch', 'palestine', 'israel', 'war', 'kpop', 'kpopfyp', 'hanni', 'newjeans', 'xybca']",,Sec2Gr3_77217.csv
