video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7295795567291108639,2023-10-30T12:53:13,60,US,"Keith Lee, keith lee atlanta, cardi b keith lee, atlanta restaurants, milk and honey atlanta, keith lee atlanta food, the real milk and honey, milk and honey, the real milk and honey atlanta, atl restaurants",488900,2542,2074,3500000,Replying to @Elio Mauricio #greenscreenvideo Cardi B agrees with Keith Lee too 🧷 #cardib #atlrestaurants #keithleereviews #foodreviews #keithlee ,False,,no_niche_babe,No Niche Babe 🖤,,,,,,False
7294402142255779102,2023-10-26T18:45:55,9,US,,209800,574,176,1400000,#halloween #halloweekend #college ,False,,sammyg603,sam🎀,,,,,,False
7302844315812760874,2023-11-18T11:46:01,19,US,"taylor swift water bottle, what happened at taylor swift concert, taylor swift at brazil, eras tour, taylor swift water, taylor swift rio de janeiro, Taylor Swift Eras Tour, Hayley Williams Passed Away Taylor Swift, brazil eras tour, taylor swift concert",815500,8862,2519,8000000,Please be safe tonight Brazil 🥺#brazilerastour #brazil #erastour #taylorswift #taylorsversion #swifttok #theerastour ,False,,miss_americanaaa,MissAmericana ⸆⸉,,,,,,False
6866180645400431877,2020-08-28T19:27:47,46,US,,4240,162,295,120500,Did you get all test answers correctly? #supervision #colorvision #learnontiktok,False,,erwinandco,🅴  🆁  🆆  🅸  🅽,,,,,,False
7224185293631425818,2023-04-20T13:28:39,12,DE,"ic3peak, ic3peak warned us, ic3peak concert shut down, concert, russia, ic3peak marching, ic3peak songs, kerosene ic3peak, Crazy Concert, ic3peak phase",375900,1466,1102,2800000,CR: @🖤Ic3peak🖤 | #ic3peak #nikolaykostylev #nastyakreslina #russia #government #shuttingdown #concert #capcut #ic3peak_fan_girl ,False,,ic3peak_fan_girl,Laura • </3,,,,,,False
7279083160187571499,2023-09-15T12:00:36,60,US,,562200,4730,1208,6100000,Maman always finds the perfect container for leftovers pt. 54 featuring tomato cream pasta with shrimp and artichokes #fyp ,False,,royashariat,Roya,,,,,,False
7300367621764091182,2023-11-11T19:35:03,0,US,,189700,1237,8348,1100000,"I was playing bioshock while making this, just sounded stupid so i knew i had to yk #israelpalestineconflict #israelipalestinianconflict #freepalestine #palestine #israel #ermwhattheflip #kystiktok ",False,,shitpostingisahobby,shitpostingisahobby,,,,,,False
7301032775711231278,2023-11-13T14:36:28,41,US,,994000,3387,1493,6900000,#PEETA a little stupid but i love him #joshhutchersonsupermacy🛐 #peetamellark #jhutch #joshhutcherson #hungergames #peetamellarksupremacy #hungergamescatchingfire ,False,,verglaas,man kisser,,,,,,False
7301238276793339154,2023-11-14T03:53:31,0,SA,"Noah Schnapp, thewizardliz, zionist meaning, noah schnapp stranger things, Noah, abe noah schnapp, Noah Schnapp Sister, noah schnapp chair, noah schnapp zendaya, Noah Schnapp And Walker Scobell",617900,4089,2728,3500000,I agree with her all the time she never miss #noahschnapp #fyp #foryoupage #freepalestine #fashion #thewizardliz #gaza #boktok ,False,,iris41__,G,,,,,,False
7299616676214230318,2023-11-09T19:00:58,52,US,"miriam, jews support palestinians, miriam lady, jews, myriam orthodox jew, glorious macklemore, Macklemore, orthodox, Washington, orthodox christian",1700000,51600,19600,9400000,"These gentelman and children were extremely nice, kind hearted, peaceful, and organized. Amazing to see they are on the RIGHT SIDE of history. Thank you! #LuayIsInMyShot #freepalestine #washingtondc #november4th #jews4palestine #mackelmore ##🇵🇸##gimzo##freegaza##ceasefirenow##protest##march##orthodox##jews",False,,xrehabalnajjarx,xrehabalnajjarx,,,,,,False
7301178642103618859,2023-11-14T00:02:13,8,US,,294600,1842,711,1400000,Literally 🫠🫠 #taylorswift #taylorsversion #taylorswifttok #nowthatwedonttalktaylorsversion #nowthatwedonttalkfromthevault ,False,,honntrann,Hon🩷,,,,,,False
7295964722409639199,2023-10-30T23:49:33,299,US,"Keith Lee, the real milk and honey, milk and honey atlanta, therealmilkandhoney, keith lee atlanta, cardi b keith lee, the real milk and honey atlanta, milk and honey, keith lee parking lot, keith lee atlanta food",1500000,15400,15200,11500000,Atlanta Food Tour Recap 💕 would you try it ? 💕 #foodcritic,False,,keith_lee125,Keith Lee,,,,,,True
7297432141485444394,2023-11-03T22:43:55,93,US,,77200,2671,2494,337300,Addressing zionist argument that hamas is a terrorist orginization. #hamas #zionism ,False,,mettabeshay,Metta,,,,,,False
