video_id,video_keywords,video_description,suggested_words
7277473360949300522,"['rachel', 'zegler', 'rachel', 'zegler', 'snow', 'white', 'rachel', 'zegler', 'hunger', 'games', 'snow', 'white', 'live', 'action', 'snow', 'white', 'rachel', 'ziegler', 'rude', 'snow', 'white', 'actress', 'rachel', 'zegler', 'american', 'actress', 'snow', 'white', 'huntsman', 'hunger', 'games', 'rachel', 'zegler', 'rachel', 'zegler', 'jokes', 'shes', 'going', 'labelled', 'difficult', 'actress']",Rachel Zegler jokes that she’s going to be labelled as a difficult actress,"rachel zegler, Rachel Zegler Snow White, rachel zegler hunger games, snow white live action, Snow White, rachel ziegler being rude, Snow White Actress, Rachel Zegler American Actress, Snow White and the Huntsman, the hunger games rachel zegler"
7271758010785991978,"['dead', 'man', 'walking', 'brent', 'faiyaz', 'sonder', 'brent', 'faiyaz', 'got', 'diamonds', 'brent', 'faiyaz', 'deadman', 'walking', 'concert', 'deadman', 'walking', 'faiyaz', 'brent', 'faiyaz', 'fake', 'fans', 'brent', 'faiyaz', 'drop', 'roof', 'concert', 'dead', 'man', 'walking', '-', 'brent', 'faiyaz', 'recorded', 'bc', 'saw', 'coming', 'also', 'emmas', 'face', 'lmao', 'brentfaiyaz', 'wasteland', 'concert', 'deadmanwalking']",recorded this bc i saw it coming 🤣 also emmas face LMAO #brentfaiyaz #wasteland #concert #deadmanwalking #fyp,"dead man walking, brent faiyaz, sonder brent faiyaz, i got diamonds brent faiyaz, deadman walking concert, deadman walking faiyaz, brent faiyaz fake fans, brent faiyaz drop the roof, concert, DEAD MAN WALKING - Brent Faiyaz"
7305949069636013343,"['baby', 'monster', 'baby', 'monster', 'debut', 'batter', 'baby', 'monster', 'teddy', 'leaving', 'yg', 'teddy', 'yg', 'producers', 'new', 'jeans', 'baby', 'monster', 'ahyeon', 'baby', 'monster', 'area', 'kpop', 'idols', 'kpop', 'tacky', 'outdated', 'killing', 'babymonster']",Tacky and outdated is KILLING ME😭😭😭 #fypシ #babymonster #kpopfyp ,"baby monster, baby monster debut, batter up baby monster, teddy leaving yg, teddy yg producers, New Jeans, baby monster ahyeon, baby monster in your area, Kpop Idols, kpop"
7303309157409508654,"['replying', 'tori', 'yeager', 'guys', 'think', 'lucy', 'gray', 'said', 'end', 'ballad', 'songbirds', 'snakes', 'thehungergames', 'theballadofsongbirdsandsnakes', 'hungergames', 'balladofsongbirdsandsnakes', 'movies']",Replying to @Tori Yeager Why do you guys think Lucy Gray said this at the end of The Ballad of Songbirds & Snakes?? #thehungergames #theballadofsongbirdsandsnakes #hungergames #balladofsongbirdsandsnakes #movies ,
7296255148177755435,"['bella', 'hadid', 'bella', 'hadid', 'ai', 'video', 'uncanny', 'valley', 'bella', 'hadid', 'israel', 'bella', 'hadid', 'model', 'bella', 'hadid', 'walking', 'runway', 'bella', 'hadid', 'walk', 'bella', 'hadid', 'american', 'model', 'hadid', 'gigi', 'name', 'bella', 'hadid', 'real', 'story', 'behind', 'video', 'bella', 'hadid', 'appearing', 'support', 'israel', 'amid', 'war', 'hamas', 'bellahadid', 'israel', 'palestine', 'israeltiktok', 'palestinetiktok', 'hamas', 'gaza', 'deepfake', 'ai', 'artificialintelligence', 'greenscreen', 'greenscreenvideo']",The real story behind video of Bella Hadid appearing to support Israel amid war with Hamas. #BellaHadid #israel #palestine #israeltiktok #palestinetiktok #hamas #gaza #deepfake #ai #artificialintelligence  #greenscreen #greenscreenvideo ,"bella hadid, bella hadid ai video, uncanny valley, bella hadid israel, bella hadid model, bella hadid walking runway, bella hadid walk, Bella Hadid American Model, Hadid Gigi, my name is bella hadid"
7288702631457967390,"['restless', 'dreams', 'air', 'tag', 'tesla', 'vacuum', 'silent', 'hill', 'restless', 'dreams', 'see', 'town', 'long', 'air', 'tags', 'last', 'geocache', 'kylesthenix', 'airtag', 'tracking', 'treasure', 'hunting', 'find', 'first', 'geoguessers', 'glass', 'ball', 'recipientburiedtreasure', 'airtag', 'mystery', 'geoguesser', 'treasure', 'tesla', 'geocache', 'poetry', 'silenthill', 'kylesthenix']","Who will find it first, the geoguessers or the glass ball recipient?#buriedtreasure #airtag #mystery #geoguesser #treasure #Tesla #geocache #poetry #silenthill #kylesthenix ","in my restless dreams, Air Tag, tesla vacuum, Silent Hill, in my restless dreams i see that town, how long do air tags last, geocache, kylesthenix, airtag tracking, Treasure Hunting"
7288409080178216197,"['jam', 'republic', 'jam', 'republic', 'vs', 'ladybounce', 'winner', 'angels', 'tibet', 'jam', 'republic', 'eliminated', 'latrice', 'angels', 'tibet', 'jam', 'republic', 'reaction', 'latrice', 'jungkook', 'kristen', 'dodgen', 'jam', 'republic', 'vs', 'ladybounce', 'street', 'woman', 'fighter', 'kristen', 'latrice', 'swf', 'korea', 'dancing', 'angels', 'tibet']",Kristen & Latrice on SWF2 in KOREA dancing to Angels In Tibet!!!!! ,"jam republic, jam republic vs ladybounce winner, angels in tibet, jam republic eliminated, Latrice, angels in tibet jam republic reaction, latrice and jungkook, kristen dodgen, jam republic vs ladybounce, street woman fighter 2"
7305104424601390382,"['lucky', 'flickerman', 'hunger', 'games', 'hunger', 'games', 'hunger', 'games', 'songbirds', 'snakes', 'hunger', 'games:', 'ballad', 'songbirds', '&', 'snakes', 'ballad', 'songbirds', 'snakes', 'hunger', 'games', 'ballad', 'songbirds', 'jason', 'schwartzman', 'hungergamesofficial', 'hunger', 'games', 'scenes', 'beef', 'festus', 'creed', 'funny', 'like', 'dislike', 'much', 'jason', 'schwartzman', 'lucky', 'flickerman', 'said', 'lot', 'creative', 'freedom', 'luckys', 'dialogue', 'think', 'one', 'ideas', 'wish', 'kept', 'says', 'sit', 'festus', 'movie', 'hungergames', 'hungergameske', 'thehungergames', 'hungergamesrenaissance', 'hungergamestok', 'theballadofsongbirdsandsnakes', 'balladofsongbirdsandsnakes', 'tbosas', 'tbosasmovie', 'booktok', 'booksoftiktok', 'hungergamesbooks', 'hungergamesprequel', 'songbirdsandsnakes', 'coriolanussnow', 'presidentsnow', 'tomblyth', 'rachelzegler', 'lucygraybaird', 'luckyflickerman', 'caesarflickerman', 'jasonschwartzman', 'behindthescenes']","His beef with Festus Creed was so funny like why does he dislike him so much🤣🤣🤣 Jason Schwartzman (Lucky Flickerman) has said that he had a lot of creative freedom with Lucky’s dialogue, so i think this was one of his ideas — i wish they kept it (he says “sit down, Festus” in the movie)!  #fyp #hungergames #hungergameske #thehungergames #hungergamesrenaissance #hungergamestok #theballadofsongbirdsandsnakes #balladofsongbirdsandsnakes #tbosas #tbosasmovie #booktok #booksoftiktok #hungergamesbooks #hungergamesprequel #songbirdsandsnakes #coriolanussnow #presidentsnow #tomblyth #rachelzegler #lucygraybaird #luckyflickerman #caesarflickerman #jasonschwartzman #behindthescenes ","lucky flickerman, the hunger games, Hunger Games, hunger games songbirds and snakes, The Hunger Games: The Ballad Of Songbirds & Snakes, ballad of songbirds and snakes, hunger games ballad of songbirds, jason schwartzman, hungergamesofficial, hunger games scenes"
7304895446378433834,"['josh', 'hutcherson', 'colleen', 'ballinger', 'microwave', 'honey', 'bun', 'josh', 'hutcherson', 'edit', 'josh', 'hutcherson', 'whistle', 'honey', 'bun', 'colleen', 'josh', 'hutcherson', 'edit', 'josh', 'hutcherson', 'american', 'actor', 'colleen', 'ballinger', 'tour', 'idk', 'else', 'thwres', 'many', 'whichoneareyou', 'events', 'oceangatesub', 'oceangate', 'colleenballinger', 'honeybun', 'joshhutcherson', 'joshhutchersonedit', 'xyzbca']",idk what else i should do because thwres so many #2023 #whichoneareyou #2023events #oceangatesub #oceangate #colleenballinger #honeybun #joshhutcherson #joshhutchersonedit #fyp #xyzbca ,"Josh Hutcherson, Colleen Ballinger, microwave honey bun, josh hutcherson edit, josh hutcherson whistle, honey bun, Colleen, josh hutcherson edit 2014, Josh Hutcherson American Actor, Colleen Ballinger Tour 2023"
7295774130152934702,"['joaquin', 'jungkook', 'jungkook', 'halloween', 'jungkook', 'tyjolion', 'hello', 'bighit', 'music', 'costume', 'tyjolion', 'favorite', 'jimin', 'costume', 'hello', 'bighit', 'jimin', 'dna', 'golf', 'shirt', 'hello', 'bighit', 'music', 'help', 'bts', 'jungkook', 'jimin', 'kpop']",HELP ME#fypシ #bts #jungkook #jimin #fypシ #fyp #kpop ,"joaquin jungkook, jungkook for halloween, jungkook, tyjolion, hello this is bighit music costume, tyjolion my favorite, jimin costume, hello this is bighit, jimin dna golf shirt, hello this is bighit music"
