,video_id,video_date,video_keywords,nyt_keywords,nyt_headline,cosine_sim
1381,7301105911660039467,2023-11-13,"['liked', 'popular', 'book', 'try', 'book', 'selection', 'kierra', 'cass', 'jewel', 'amy', 'ewing', 'read', 'book', 'years', 'back', 'one', 'first', 'serieses', 'excited', 'downfall', 'dystopian', 'era', 'hunger', 'games', 'divergent', 'selection', 'etc', 'huge', 'dystopian', 'fan', 'youre', 'looking', 'wonderful', 'way', 'relive', 'phase', 'please', 'pick', 'series', 'invisible', 'life', 'addie', 'larue', 'schwab', 'stop', 'time', 'matt', 'haig', 'book', 'written', 'author', 'booktok', 'book', 'midnight', 'library', 'another', 'one', 'favorites', 'book', 'impeccably', 'written', 'colorfully', 'emotional', 'flashing', 'past', 'present', 'watch', 'main', 'character', 'fall', 'painful', 'love', 'cannot', 'hold', 'laura', 'nowlin', 'light', 'lost', 'jill', 'santopolo', 'two', 'books', 'one', 'major', 'element', 'common', 'sadness', 'found', 'book', 'relatable', 'wanted', 'reading', 'going', 'first', 'real', 'breakup', 'characters', 'book', 'feel', 'real', 'fall', 'love', 'innocent', 'complicated', 'natural', 'full', 'chemistry', 'yet', 'find', 'book', 'makes', 'feel', 'way', 'one', 'love', 'story', 'book', 'pungent', 'sharp', 'leave', 'feeling', 'equally', 'hopeful', 'hopeless', 'archers', 'voice', 'mia', 'sheridan', 'love', 'hurt', 'like', 'paige', 'toon', 'book', 'small', 'town', 'romance', 'done', 'well', 'deviates', 'general', 'predictions', 'see', 'constantly', 'within', 'trope', 'fulfills', 'us', 'areas', 'rely', 'book', 'offers', 'beautiful', 'romance', 'blossoming', 'familial', 'story', 'share', 'book', 'reviews', 'get', 'connected', 'community', 'follow', 'milanamarie', 'lemon', 'lemonus', 'lemon', 'lemonbookclub', 'archersvoice', 'onlylovecanhurtlikethis', 'addielarue', 'howtostoptime', 'theselection', 'thejewel']","['books', 'literature', 'content', 'type', 'service', 'molly', 'molloy', 'angel', 'death', 'book', 'vale', 'maria', 'author', 'i', 'must', 'be', 'dreaming', 'book', 'chast', 'roz', 'some', 'people', 'need', 'killing', 'a', 'memoir', 'murder', 'my', 'country', 'book', 'evangelista', 'patricia', '1985', 'mcdermott', 'alice', 'wild', 'girls', 'how', 'outdoors', 'shaped', 'women', 'who', 'challenged', 'nation', 'book', 'miles', 'tiya', 'alicia', 'the', 'hungry', 'season', 'a', 'journey', 'war', 'love', 'survival', 'book', 'hamilton', 'lisa', 'm', 'the', 'fund', 'ray', 'dalio', 'bridgewater', 'associates', 'unraveling', 'wall', 'street', 'legend', 'book', 'copeland', 'rob', 'journalist', 'the', 'plinko', 'bounce', 'book', 'clark', 'martin', 'razzle', 'dazzle', 'new', 'selected', 'poems', '2002', '2022', 'book', 'jackson', 'major', '1968', 'new', 'books', 'we', 'recommend', 'this', 'week']",9 New Books We Recommend This Week,0.6733224
1450,7304696338246159662,2023-11-23,"['happy', 'thanksgiving', 'turkeys']","['internal', 'storyline', 'thanksgiving', 'day', 'a', 'thanksgiving', 'pep', 'talk']",A Thanksgiving Pep Talk,0.69407994
1540,7299510484208831774,2023-11-09,"['replying', 'stacy', 'dirty', 'pop', 'music', 'ibdustry', 'done', 'bebe', 'rexha', 'dirty', 'many', 'times', 'lets', 'talk', 'time', 'wasnt', 'even', 'told', 'britney', 'spears', 'would', 'performing', 'song', 'rhe', 'vmas', 'dirtypop', 'popmusic', 'pop', 'music', 'popculture', 'popculturenews', 'celebrity', 'celebritygossip', 'musicindustry', 'musicindustrysecrets', 'bebe', 'beberexha', 'britneyspears', 'vma', 'vmas', 'geazy', 'wwhl', 'justiceforbebe', 'singers', 'singersongwriter']","['grammy', 'awards', 'pop', 'rock', 'music', 'country', 'music', 'rap', 'hip', 'hop', 'rhythm', 'blues', 'music', 'recording', 'academy', 'boygenius', 'music', 'group', 'baker', 'julien', '1995', 'bridgers', 'phoebe', '1994', 'cyrus', 'miley', 'dacus', 'lucy', '1995', 'eilish', 'billie', 'rodrigo', 'olivia', '2003', 'monae', 'janelle', 'monet', 'victoria', '1989', 'sza', 'singer', 'swift', 'taylor', 'sza,', '‘barbie’', 'songs', 'young', 'women', 'lead', 'grammy', 'nominees']","SZA, ‘Barbie’ Songs and Young Women Lead 2024 Grammy Nominees",0.6310443
1541,7299589767631473951,2023-11-09,"['replying', 'serotoniene', 'dirty', 'pop', 'taylor', 'swift', 'wrote', 'cane', 'rihanna', 'calvin', 'harris', 'vocals', 'allll', 'track', 'still', 'dirtypop', 'popmusic', 'pop', 'music', 'popculture', 'popculturenews', 'celebrity', 'celebritygossip', 'musicindustry', 'musicindustrysecrets', 'taylorswift', 'swifttok', 'swifties', 'calvinharris', 'rihanna', 'riri', 'singers', 'singersongwriter']","['grammy', 'awards', 'pop', 'rock', 'music', 'country', 'music', 'rap', 'hip', 'hop', 'rhythm', 'blues', 'music', 'recording', 'academy', 'boygenius', 'music', 'group', 'baker', 'julien', '1995', 'bridgers', 'phoebe', '1994', 'cyrus', 'miley', 'dacus', 'lucy', '1995', 'eilish', 'billie', 'rodrigo', 'olivia', '2003', 'monae', 'janelle', 'monet', 'victoria', '1989', 'sza', 'singer', 'swift', 'taylor', 'sza,', '‘barbie’', 'songs', 'young', 'women', 'lead', 'grammy', 'nominees']","SZA, ‘Barbie’ Songs and Young Women Lead 2024 Grammy Nominees",0.62639636
1566,7079057498497355050,2022-03-25,"['anna', 'devley', 'inventing', 'anna', 'anna', 'delvey', 'interview', 'anna', 'sorokin', 'anna', 'delvey', 'explained', 'anna', 'delvey', 'real', 'footage', 'anna', 'story', 'anna', 'delvey', 'boat', 'scene', 'anna', 'delvey', 'chateau', 'marmont', 'anna', 'delvey', 'real', 'voice', 'anna', 'delvey', 'villain', 'antihero', 'let', 'know', 'comments', 'full', 'video', 'youtube', 'annadelvey', 'inventinganna', 'scammers']","['art', 'immigration', 'detention', 'frauds', 'swindling', 'sorokin', 'anna', 'anna', 'delvey', 'martinez', 'alfredo', 'artist', 'a2z', 'delancey', 'manhattan', 'ny', 'gallery', 'anna', 'sorokin', 'talks', 'about', 'making', 'art']",Anna Sorokin Talks About Making Art,0.603943
1568,7153344677251550510,2022-10-11,"['anna', 'delvey', 'explained', 'anna', 'delvey', 'anna', 'delvey', 'gets', 'caught', 'scene', 'anna', 'delvey', 'anna', 'delvey', 'netflix', 'scenes', 'anna', 'delvey', 'netflix', 'anna', 'sorokin', 'anna', 'sorokin', 'anna', 'delvey', 'gets', 'caught', 'movie', 'scene', 'anna', 'delvey', 'case', 'fake', 'heiress', 'annadelvey', 'aka', 'annasorokin', 'seen', 'stepping', 'house', 'arrest', 'manhattan']","['new', 'york', 'city', 'internal', 'storyline', 'frauds', 'swindling', 'sorokin', 'anna', 'anna', 'delvey', 'anna', 'sorokin:', 'never', 'loss', 'words']",Anna Sorokin: Never at a Loss for Words,0.6944411
1620,7246887287114435886,2023-06-20,"['andrew', 'barth', 'feldman', 'hard', 'feelings', 'hard', 'feelings', 'interview', 'andrew', 'barth', 'feldman', 'dear', 'evan', 'hansen', 'andrew', 'barth', 'feldman', 'jennifer', 'lawrence', 'andrew', 'feldman', 'jennifer', 'lawrence', 'andrew', 'feldman', 'andrew', 'feldman', 'singing', 'hard', 'feelings', 'movie', 'jennifer', 'lawrence', 'partner', 'andrew', 'nohardfeelings', 'jenniferlawrence', 'andrewbarthfeldman']","['no', 'hard', 'feelings', 'movie', 'movies', 'montauk', 'ny', 'stupnitsky', 'gene', 'lawrence', 'jennifer', 'feldman', 'andrew', 'barth', '‘no', 'hard', 'feelings’', 'review:', 'how', 'lucky', 'can', 'nerdy', 'kid', 'get?']",‘No Hard Feelings’ Review: How Lucky Can a Nerdy Kid Get?,0.60199225
1629,7268496665529650478,2023-08-17,"['part', 'nohardfeelings', 'movie', 'movieclips', 'film', 'tiktok', 'trending', 'movies']","['movies', 'social', 'media', 'tiktok', 'bytedance', 'tiktokers', 'redefining', 'movie', 'review']",8 TikTokers Redefining the Movie Review,0.6120181
1662,7304846458602261791,2023-11-23,"['gail', 'lewis', 'walmart', 'thanksgiving', 'eazyblakeoven_', 'thanksgiving', 'dinner', 'thanksgiving', 'plot', 'twist', 'white', 'thanksgiving', 'thanksgiving', 'fails', 'thanksgiving', 'leftover', 'ideas', 'thanksgiving', 'funny', 'videos', 'happy', 'thanksgiving', 'funny', 'im', 'still', 'shock', 'honestly', 'thanksgiving', 'comedy']","['thanksgiving', 'dinner']",Thanksgiving Dinner,0.6363651
1762,7303396064873270558,2023-11-19,"['tigris', 'hunger', 'games', 'lucy', 'gray', 'snow', 'hunger', 'games', 'hunger', 'games', 'songbirds', 'snakes', 'hunger', 'games', 'happened', 'lucy', 'gray', 'hunger', 'games', 'ballad', 'songbirds', 'ballad', 'songbirds', 'snakes', 'hunger', 'games', 'explained', 'president', 'snow', 'put', 'together', 'hungergames', 'balladofsongbirdsandsnakes', 'presidentsnow', 'lucygraybaird', 'endingexplained', 'movieanalysis', 'booktok']","['movies', 'the', 'hunger', 'games', 'the', 'ballad', 'songbirds', 'snakes', 'movie', 'the', 'hunger', 'games', 'movie', 'lawrence', 'francis', '1971', 'collins', 'suzanne', '1962', 'blyth', 'tom', 'zegler', 'rachel', '2001', '‘the', 'hunger', 'games’', 'is', 'back.', 'here’s', 'what', 'you', 'need', 'know.']",‘The Hunger Games’ Is Back. Here’s What You Need to Know.,0.679573
