,abstract,lead_paragraph,headline,pub_date,document_type,section_name,type_of_material,keywords
22,The former governor’s commercials push a narrative that he was driven from office by “political attacks.”,"Good morning. It’s Tuesday. We’ll look at former Gov. Andrew Cuomo’s new television ads, which say he was a victim of “political attacks.” And, with tourism on many people’s minds as the city struggles to move beyond the pandemic, we’ll preview a new museum with a theme park-style ride that is opening in Midtown Manhattan.",Cuomo’s New Approach to Restoring His Reputation: TV Ads,2022-03-01T05:10:04+0000,article,New York,briefing,"New York City;Political Advertising;AMUSEMENT AND THEME PARKS;Sexual Harassment;Cuomo, Andrew M;Sanna, James;New York State"
23,A bloody attack on Ukraine’s second-largest city.,"The first talks between Ukraine and Russia aimed at halting the Russian invasion were eclipsed yesterday by a deadly Russian rocket assault on Kharkiv, Ukraine’s second-largest city, that killed at least nine civilians and injured dozens of others. Volodymyr Zelensky, the Ukrainian president, denounced it as a war crime.",Your Tuesday Briefing,2022-03-01T05:30:39+0000,article,Briefing,briefing,
24,"Responding to a plea by a Ukrainian official, Mr. Musk delivered an unknown number of his Starlink terminals, which offer online connection via orbiting satellites, bypassing conventional providers.","Ukraine’s vice prime minister said on Monday that internet terminals sent by Elon Musk, which were designed to work with satellites orbiting in space to provide online access, had arrived in the country.","Satellite internet terminals, sent by Elon Musk, arrive in Ukraine.",2022-03-01T05:36:26+0000,article,World,News,"Musk, Elon;Satellites;Russian Invasion of Ukraine (2022);Ukraine;Computers and the Internet"
25,We will start again — and we will start now.,"With President Biden delivering the State of the Union address on Tuesday night, four Times columnists summoned their inner speechwriter and imagined what they would like him to say. One or two hit a single note they thought the president should emphasize; others found a few chords that they wanted him to strike. The only ground rule for this experiment was that the columnists had to write in Mr. Biden’s voice, if not in his manner of speaking.",‘My Fellow Americans’: Four Times Columnists Channel Joe Biden,2022-03-01T06:00:05+0000,article,Opinion,Op-Ed,"Biden, Joseph R Jr;State of the Union Message (US);United States Politics and Government"
26,"Quotation of the Day for Tuesday, March 1, 2022.",“A lot depends on how brutal the Russians are prepared to be.”,"Quotation of the Day: As War Grinds Into 5th Day, Kremlin Starts Hitting Harder",2022-03-01T06:41:18+0000,article,Today’s Paper,Quote,
27,"Corrections that appeared in print on Tuesday, March 1, 2022.","An article on Monday about the impact that congressional redistricting is having on political races across the United States misidentified the job formerly held by Phill Cady, a Texas resident. He was an airline mechanic, not a pilot.","Corrections: March 1, 2022",2022-03-01T06:41:24+0000,article,Corrections,Correction,
28,"If bringing back the Soviet Union is Putin’s goal, the “Daily Show” host joked, long lines are a good start.","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",Trevor Noah Reviews Putin’s Attempt at a Soviet Reunion,2022-03-01T06:41:34+0000,article,Arts,News,"Television;Jimmy Kimmel Live (TV Program);Colbert, Stephen;Fallon, Jimmy;Kimmel, Jimmy;Late Night with Seth Meyers (TV Program);Late Show with Stephen Colbert (TV Program);The Tonight Show (TV Program);Corden, James (1978- );The Late Late Show with James Corden (TV Program);The Daily Show with Trevor Noah (TV Program);Noah, Trevor (1984- )"
29,This word has appeared in 22 articles on NYTimes.com in the past year. Can you use it in a sentence?,"The word viscous has appeared in 22 articles on NYTimes.com in the past year, including on Aug. 8 in “TikTok Trend: Eating Frozen Honey and Risking Ill Effects” by Eduardo Medina:",Word of the Day: viscous,2022-03-01T07:00:03+0000,article,The Learning Network,News,
30,Venus is often called Earth’s twin but it isn’t.,Venus is often called Earth’s twin but it isn’t.,How hot is the surface of Venus?,2022-03-01T07:11:39+0000,multimedia,Science,Interactive Feature,Planets;Space and Astronomy
31,"In recent days, landmarks around the world have been lit in blue and yellow. Why? And what do you think of these displays?","Landmarks in New York City like the World Trade Center and the Empire State Building were lit up in recent days in blue and yellow lights. So were other famous landmarks around the world, including the Eiffel Tower, the London Eye, the Colosseum in Rome and the Brandenburg Gate in Berlin.",Lit-Up Landmarks,2022-03-01T08:00:03+0000,article,The Learning Network,News,
32,Feeling stuck on today’s puzzle? We can help.,"TUESDAY — Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below.",Spelling Bee Forum,2022-03-01T08:00:03+0000,article,Crosswords & Games,News,Spelling Bee (Game)
